feature,shap_value,abs_shap
emp.var.rate,-0.9646457102589042,0.9646457102589042
cons.price.idx,0.8769359198160753,0.8769359198160753
contact_telephone,-0.32333890150321154,0.32333890150321154
contact_cellular,-0.2743768956776214,0.2743768956776214
nr.employed,0.26115579099251585,0.26115579099251585
"conf_bin_(-50.824, -47.386]",-0.19235092128706605,0.19235092128706605
month_may,0.16672299727985698,0.16672299727985698
"euribor_bin_(1.0, 2.0]",-0.16379401529835413,0.16379401529835413
month_jun,-0.1510102189993651,0.1510102189993651
euribor3m,0.11567887114347587,0.11567887114347587
"euribor_bin_(5.0, 10.0]",0.1110366359229508,0.1110366359229508
y_yes,-0.08602022592869338,0.08602022592869338
cons.conf.idx,-0.05413897977536125,0.05413897977536125
"conf_bin_(-43.971, -40.557]",0.048834375161374115,0.048834375161374115
month_aug,0.04339990310265738,0.04339990310265738
pdays,-0.04096259824870475,0.04096259824870475
job_group_White-Collar Professionals,-0.03841724992090567,0.03841724992090567
previous,0.03679969350076858,0.03679969350076858
job_admin.,-0.035343580449660114,0.035343580449660114
age_group_Early Adults (18â€“21),0.034762547107367966,0.034762547107367966
